n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16 n17 n18 n19 n20
62	418	109	55	75	491	354	626	660	614	548	488	148	661	549	442	550	658	24	59
289	420	86	108	138	378	24	291	288	407	442	537	105	106	158	473	538	341	84	213
626	418	74	281	491	75	59	217	207	662	148	53	62	535	55	549	379	585	109	551
327	264	128	459	641	32	512	513	26	310	309	631	478	258	302	126	462	262	565	248
622	625	314	265	316	634	624	665	261	295	308	577	16	324	134	397	13	135	575	494
506	356	206	570	398	447	492	100	167	509	133	359	293	326	530	389	28	633	515	457
166	313	415	532	416	194	510	529	461	168	162	170	191	127	476	18	28	457	193	169
511	460	641	264	462	126	370	643	369	327	26	603	513	3	565	192	459	128	125	32
416	313	642	415	194	166	532	510	127	162	18	461	191	171	170	20	529	165	169	311
194	529	169	193	416	162	358	166	457	28	530	567	313	99	312	389	445	189	167	168
199	645	480	545	122	196	172	483	646	284	647	466	173	142	655	439	390	273	427	615
140	286	256	149	19	603	644	287	298	630	52	369	460	643	125	557	601	15	563	562
287	647	286	482	466	140	405	427	556	545	483	467	645	595	604	646	284	480	257	391
135	397	263	324	555	552	250	319	164	624	245	205	572	265	143	300	622	481	623	395
23	301	322	623	481	392	303	572	245	393	391	595	555	202	143	198	263	300	496	319
49	562	308	101	563	164	205	300	250	644	134	52	149	555	397	135	552	263	256	324
397	135	324	263	250	555	552	624	164	319	265	205	245	572	622	300	143	308	481	49
414	477	311	165	25	368	367	564	476	170	508	188	249	461	417	510	191	302	50	515
127	510	191	170	417	171	415	165	311	414	461	532	476	313	564	477	163	367	188	192
52	603	369	460	101	7	643	563	630	15	49	565	256	149	26	644	562	126	308	259
127	171	417	191	510	192	415	170	414	165	311	251	370	313	461	532	476	163	368	477
76	274	79	40	582	78	77	201	650	413	200	277	147	465	558	527	182	382	305	41
157	598	451	307	571	44	110	355	352	113	651	606	628	119	43	156	426	33	344	240
14	322	301	623	303	481	198	392	572	496	317	245	202	391	143	403	69	393	71	351
442	288	108	378	106	538	291	354	407	614	289	1	86	215	380	488	658	55	62	420
477	479	17	249	476	515	414	311	564	636	514	359	508	165	133	367	368	188	170	478
259	258	3	264	459	260	261	327	565	310	641	32	262	126	7	128	101	243	513	52
262	295	666	258	634	310	261	625	243	259	665	554	3	260	494	631	309	292	459	314
167	457	530	447	358	389	168	169	100	206	570	166	529	162	193	194	9	188	359	249
346	235	41	226	574	609	553	200	182	559	410	404	175	236	336	234	382	277	225	197
544	156	606	648	36	220	596	347	43	586	63	657	112	279	361	376	61	597	587	22
463	412	426	540	594	541	449	561	450	221	539	240	344	222	110	343	451	353	598	571
459	327	565	513	602	631	126	3	243	264	310	260	632	641	128	462	643	26	258	666
440	42	362	400	651	38	583	276	44	352	113	157	344	353	174	119	349	307	375	275
400	42	375	440	583	276	651	349	362	44	174	38	433	157	469	275	344	353	352	113
375	349	433	42	469	400	607	583	440	558	305	401	362	238	38	353	174	121	144	276
648	220	544	30	657	61	112	347	156	333	306	409	606	279	159	543	54	361	596	223
382	175	413	402	147	201	558	609	428	239	305	145	452	238	200	607	399	401	433	237
362	440	113	352	275	400	121	651	33	119	174	144	42	276	353	349	203	307	401	157
225	560	180	559	315	234	90	664	553	574	404	431	226	348	432	224	123	235	350	228
78	21	582	236	182	546	277	200	76	274	146	79	29	553	574	201	382	413	609	234
182	553	574	29	236	277	559	234	235	226	346	546	609	582	78	225	200	410	348	404
583	33	353	344	440	362	469	38	35	561	222	375	34	433	400	594	113	352	651	349
597	606	596	156	637	544	30	586	22	157	628	91	355	347	67	648	651	376	571	598
157	22	598	307	33	583	110	344	651	571	240	352	113	451	440	362	353	34	355	561
409	335	528	333	223	306	61	290	536	304	669	360	159	657	670	381	36	648	649	421
269	271	270	268	150	151	668	68	667	252	320	423	659	517	516	519	518	422	444	526
269	271	270	268	150	151	668	68	667	252	320	423	659	517	516	519	422	518	444	526
150	269	271	270	268	151	668	68	667	252	320	423	659	517	516	422	519	518	444	526
15	308	101	300	563	562	164	205	250	134	644	555	16	13	135	397	265	324	149	552
367	188	564	163	249	165	515	17	436	477	414	461	359	170	368	311	25	98	162	457
499	72	435	183	181	267	384	317	70	187	496	498	69	325	228	233	350	403	141	383
101	563	369	630	19	562	603	565	15	256	134	149	643	460	308	644	260	26	126	259
74	60	381	2	281	670	176	438	379	65	66	304	148	59	217	626	360	371	335	589
112	64	220	361	63	573	111	36	377	542	65	648	30	669	363	547	223	544	371	409
62	491	0	148	418	59	442	614	179	2	321	75	354	378	626	85	24	106	109	407
379	589	627	304	334	217	381	118	421	551	662	588	503	536	535	669	219	533	549	360
283	615	390	199	646	645	297	10	647	173	122	621	284	545	439	620	296	210	619	131
617	366	365	578	580	579	468	463	539	608	31	88	619	221	412	541	540	266	542	620
