plt_cn	subp	refVOLUME	predVOL_k1	predVOL_k5	predVOL_k10	predVOL_k15	predVOL_k20	predVOL_k25	predVOL_k30
100231500010661	1	269.054	2469.962	2056.041	1545.8943	1549.191467	1940.45975	1696.24532	1618.0632
100231500010661	3	202.262	85.474	1903.958	1327.1618	1616.343333	1550.99315	1716.75916	1837.757133
100231500010661	4	1181.411	551.937	2277.4562	2029.4286	2025.214067	1858.221	1812.52364	1745.2339
100231546010661	2	3233.763	1334.121	1045.9406	1271.7731	1326.341333	1421.18695	1461.84736	1369.967433
100231546010661	3	1436.861	143.631	1793.5222	1601.294	1406.820133	1619.4872	1691.04384	1768.694667
100231546010661	4	361.615	190.967	1052.1844	1597.6543	1582.898933	1455.4096	1492.7872	1535.829767
100231667010661	1	518.637	18.827	914.5434	862.4604	1056.133533	1138.20865	1269.46304	1357.735233
100231667010661	2	567.543	1199.107	1472.3572	1534.2306	1598.619867	1506.53225	1673.10348	1693.847567
100231667010661	3	686.183	857.511	1378.3746	1043.1277	1388.292267	1398.28695	1445.47744	1508.3135
100231667010661	4	620.097	1293.42	1002.5196	947.1501	979.634933	1228.06045	1253.28136	1328.592867
100231775010661	1	471.722	1364.99	2619.5344	1871.2964	1943.900267	1806.3345	1786.32352	1746.180833
100231775010661	2	513.031	3698.568	2198.8982	1743.3821	1829.543	1775.5936	1979.1122	1917.3046
100231775010661	3	1401.401	658.932	1537.828	2468.5584	2017.661	1873.675	1845.93312	1927.084033
100231886010661	1	5129.201	1758.791	1224.9716	1715.1605	1549.198867	1442.23275	1479.53392	1573.6902
100231886010661	2	1572.783	2711.169	3010.6896	2517.5485	2161.133867	2007.12905	2139.2506	2126.490467
100231886010661	3	1171.954	2602.014	1069.8236	1203.0821	1432.020133	1520.0839	1370.09776	1451.0933
100231886010661	4	348.98	1767.006	1268.8564	1715.1605	1429.123467	1480.98365	1417.116	1556.012833
100231983010661	1	1581.416	1258.265	1381.3394	1159.0867	1164.546733	1438.46465	1462.48056	1404.051567
100231983010661	2	2247.979	1295.433	1249.5824	1592.378	1434.056	1495.0795	1409.4088	1442.896733
100231983010661	3	4135.511	3077.643	1516.1002	1260.7169	1439.6464	1490.0666	1497.80188	1521.3761
100231983010661	4	1975.53	1295.433	1846.231	1589.4919	1596.769067	1439.97865	1479.2768	1473.017567
100232137010661	1	1951.886	7765.525	2904.106	2210.9324	1953.366	1771.7822	1955.9908	1935.363867
100232137010661	2	2518.61	1672.637	1284.4866	1210.6633	1393.413267	1432.1729	1534.54372	1445.9431
100232137010661	3	2711.169	1572.783	2672.0602	2553.0577	2438.943533	2168.5287	1880.31396	1895.826667
100232137010661	4	2568.025	6424.234	2230.5988	1406.1513	1164.731867	1380.19765	1441.16628	1470.307033
100232251010661	1	1408.112	716.412	973.5288	1230.376	1292.623267	1318.44795	1411.62904	1477.2197
100232251010661	2	1426.474	2281.02	1703.3174	1869.3949	1768.3406	1673.21605	1542.1612	1472.3011
100232251010661	3	1207.823	2728.908	1790.2088	1895.0303	1901.180533	1755.80515	1640.40776	1550.713967
100232251010661	4	394.867	1698.176	1404.8362	1272.391	1067.234467	1147.61375	1176.82844	1122.049267
100232355010661	1	48.353	2209.223	1822.6436	1766.6688	1746.8034	1658.4609	1532.49204	1718.760733
100232355010661	2	1866.177	2501.267	2017.549	1903.776	1875.821467	1886.0783	1772.57712	1621.300633
100232355010661	3	138.486	740.703	1974.1116	1744.9974	1669.9536	1525.74285	1612.51856	1568.9578
100232355010661	4	1722.608	169.977	1068.5052	1381.4496	1406.276867	1515.7303	1644.7452	1595.031167
100232436010661	1	1005.485	1535.026	2217.2916	1710.8104	2007.134533	1958.20905	1971.40104	1909.468367
100232436010661	3	54.086	2563.054	1829.1548	1883.191	2035.251467	1976.4831	2151.3106	2120.787067
100232436010661	4	663.887	491.748	1625.142	2237.2332	2109.825267	2291.2792	2275.7768	2102.460267
100232530010661	1	1156.148	3994.907	2134.4906	1884.7149	1467.8876	1724.4043	1632.90968	1873.248733
100232530010661	2	656.761	1590.49	1691.7876	1718.0641	1618.7136	1980.62925	1898.3526	1824.909433
100232530010661	3	884.269	3471.405	2115.9026	1883.1809	2245.6998	2161.17935	2166.01068	1891.273
100232649010661	1	40.814	330.404	1404.6992	1971.258	2008.306733	2043.53785	2011.05736	2065.472367
100232649010661	2	51.973	1732.737	1849.5848	2367.1007	2618.971333	2309.671	2246.91732	2061.998133
100232649010661	3	389.398	2570.772	2139.6922	1757.7461	1865.214933	1743.5265	1819.14712	1917.153433
100232690010661	1	2539.881	2016.065	1596.8768	1566.3493	1390.963267	1325.94545	1358.3986	1475.0816
100232690010661	2	4137.541	1820.114	1569.7078	1743.3464	1424.785733	1634.8489	1501.73724	1391.8032
100232690010661	3	1810.206	1672.637	1637.914	1712.3373	1413.562	1395.6261	1440.44268	1310.0463
100232690010661	4	4702.567	13.404	1168.5942	1531.2862	1695.682133	1742.1191	1678.67152	1607.68
