plt_cn	subp	ref.volume	pred.vol_k1	pred.vol_k5	pred.vol_k10	pred.vol_k15	pred.vol_k18	pred.vol_k22	xAlb	yAlb	tcap_B	tcap_G	tcap_W
100231500010661	1	269.054	828.876	2915.3254	2270.5812	2237.4898	2181.595333	1988.369364	815016.56	2679524.58	2341.752197	1523.947754	-68.235199
100231500010661	3	202.262	85.474	1139.9088	1742.4494	1853.275267	1627.058944	1541.014864	815048.23	2679506.29	2123.188965	1352.610474	-59.737499
100231500010661	4	1181.411	644.204	2222.4676	2195.766	2147.629467	2085.569	2196.942682	814984.88	2679506.29	2368.30835	1531.474243	-2.4569
100231546010661	2	3233.763	1284.487	1309.2496	1262.8775	1881.3882	1893.619944	1903.809682	798552.39	2666517.63	3635.663818	2780.406006	-6.6946
100231546010661	3	1436.861	143.631	1771.201	1441.6419	1502.7448	1571.782556	1561.101409	798584.07	2666462.76	3463.349609	2700.49585	85.690804
100231546010661	4	361.615	190.967	378.6804	961.8281	1130.840067	1178.537111	1108.119955	798520.71	2666462.76	3838.233398	3051.963379	142.806702
100231667010661	1	518.637	857.511	1274.0446	1259.3375	1273.761467	1404.256111	1349.323591	785539.37	2656082.55	3927.983643	2929.381592	-148.182404
100231667010661	2	567.543	1878.867	1411.2016	1640.9751	1550.7464	1374.585556	1402.177682	785539.37	2656119.13	3830.48999	2886.80542	-111.285202
100231667010661	3	686.183	1520.16	1212.242	1590.0168	1539.073733	1771.890778	1807.909727	785571.05	2656064.26	3662.524414	2746.827637	-65.122398
100231667010661	4	620.097	2681.939	1126.5984	955.0118	908.2984	934.629111	1225.717909	785507.7	2656064.26	3958.858887	3003.361816	-32.364601
100231775010661	1	471.722	498.214	1988.238	1313.9358	1267.2314	1412.687278	1441.515818	809986.67	2658953.47	3593.515381	2347.063721	-364.106201
100231775010661	2	513.031	2581.931	1625.8056	1497.238	1375.1726	1380.954	1403.765773	809986.67	2658990.05	3825.731201	2650.840088	-254.077194
100231775010661	3	1401.401	3698.568	1538.645	1293.3235	1192.777067	1424.654667	1446.198318	810018.34	2658935.19	3621.888184	2416.673584	-302.376007
100231886010661	1	5129.201	2830.699	2049.802	2040.4641	1824.374067	1693.228833	1619.231955	825504.21	2661243	3578.846191	2724.382324	5.436
100231886010661	2	1572.783	1758.791	1276.28	2098.9246	1874.239133	1695.423778	1624.717591	825504.21	2661279.58	3433.769043	2585.514404	47.844501
100231886010661	3	1171.954	2309.901	1056.4098	1050.99	1241.810933	1259.360167	1449.406864	825535.89	2661224.71	3779.410645	3069.249512	227.679001
100231886010661	4	348.98	1536.154	1790.346	1548.0995	1533.508	1565.284556	1670.831	825472.54	2661224.71	3628.81543	2760.140381	41.733799
100231983010661	1	1581.416	1258.265	1638.1316	1558.964	1431.1316	1626.6755	1925.120091	781662.67	2649335.98	3774.957031	2880.287598	2.8282
100231983010661	2	2247.979	1878.867	1176.1134	1220.6356	1174.893667	1129.033056	1272.587864	781662.67	2649372.55	3823.97876	2862.413818	-61.634102
100231983010661	3	4135.511	307.215	1211.2114	1202.0967	1282.689067	1261.718333	1223.791727	781694.34	2649317.69	3818.07251	2901.677002	-39.643799
100231983010661	4	1975.53	536.411	1311.279	2020.5303	1869.506267	1794.281556	1616.507955	781630.99	2649317.69	3731.205322	2828.303467	-69.532402
100232137010661	1	1951.886	196.697	1179.1598	1238.2607	1719.7304	1690.831389	2037.127227	796507.63	2649285.46	2713.793945	1893.120605	-17.16
100232137010661	2	2518.61	656.761	1129.6402	1221.1757	1827.9672	1878.428444	1755.936727	796507.63	2649322.03	3045.83667	2212.178223	59.328201
100232137010661	3	2711.169	2755.615	1410.868	1548.0865	1835.433267	1742.085444	1757.994364	796539.31	2649267.17	3141.453857	2430.459717	135.126602
100232137010661	4	2568.025	48.353	1361.4686	1485.7209	1317.2838	1606.569278	1797.785773	796475.96	2649267.17	2579.898926	1807.764648	48.0056
100232251010661	1	1408.112	1064.646	1136.1212	954.5607	1104.9868	1134.814944	1123.773727	815633.45	2658612.79	3852.490234	3002.195068	26.915001
100232251010661	2	1426.474	1547.34	2505.7824	2289.2313	1892.942867	1766.853333	1685.438045	815633.45	2658649.36	3573.57959	2765.632812	-39.676899
100232251010661	3	1207.823	1520.034	1421.6374	1459.5514	1728.643133	1770.512944	1643.181318	815665.13	2658594.5	3562.983643	2792.363281	72.836098
100232251010661	4	394.867	1686.488	1224.4932	1011.2268	839.188533	812.046667	991.334409	815601.77	2658594.5	3896.583496	3009.770752	31.567301
100232355010661	1	48.353	2568.025	1979.382	1630.1006	1457.3988	1692.420722	1808.144909	808995.61	2651438.73	2605.01709	1792.199951	63.1992
100232355010661	2	1866.177	999.146	2254.1274	2085.8594	2097.644933	1819.432389	1802.064136	808995.61	2651475.3	2563.690674	1584.926392	-127.040298
100232355010661	3	138.486	1707.393	926.6212	1351.2583	1511.5962	1525.418333	1532.717227	809027.28	2651420.44	2533.544922	1607.143555	22.733999
100232355010661	4	1722.608	3061.751	2355.3412	1665.5304	1688.5902	2048.3465	1900.121682	808963.93	2651420.44	3391.616211	2485.627686	-56.025398
100232436010661	1	1005.485	1986.13	3194.4876	2619.0467	2179.6938	1988.032444	1971.815455	822209.3	2653219.29	2762.58374	2014.491455	83.399597
100232436010661	3	54.086	2563.054	1802.406	1974.9729	1807.984667	1840.479167	2046.358955	822240.97	2653201	2731.588867	2039.235107	-10.9101
100232436010661	4	663.887	491.748	1971.9776	2279.6781	2081.883267	1957.295889	1892.912455	822177.62	2653201	2783.046387	2053.700195	-7.2879
100232530010661	1	1156.148	2777.19	1782.5442	1895.1438	1736.766733	1897.579667	2030.251955	790372.57	2644126.98	2934.44458	2077.311523	15.4089
100232530010661	2	656.761	2518.61	1709.5376	1855.3909	1704.588867	1730.4065	1730.599636	790372.57	2644163.56	3045.488281	2192.693115	32.310299
100232530010661	3	884.269	3471.405	2006.4584	1904.4777	1964.7278	1886.034111	1867.549545	790404.25	2644108.69	2787.362305	1967.426147	48.280602
100232649010661	1	40.814	2352.484	1523.664	1870.4386	2110.667067	2017.929278	2023.812591	807173.18	2644320.51	3074.296875	2276.973877	-0.5901
100232649010661	2	51.973	1732.737	2623.2024	2320.4776	2552.519933	2472.672222	2414.429773	807173.18	2644357.08	2921.02002	2227.098877	105.576401
100232649010661	3	389.398	2570.772	2091.28	1810.0108	1991.5978	1801.768722	1922.992727	807204.85	2644302.22	2980.837402	2227.411377	41.2981
100232690010661	1	2539.881	2016.065	2466.0756	1723.9277	1550.132067	1470.233667	1563.213227	821284.89	2643273.05	2787.736084	1983.570557	-21.376801
100232690010661	2	4137.541	769.355	2822.903	2275.1576	1944.6106	1740.244167	1720.520136	821284.89	2643309.63	2615.817627	1900.992554	19.740601
100232690010661	3	1810.206	700.973	1366.7458	1764.7606	1617.954333	1426.462778	1548.652409	821316.57	2643254.76	2728.30249	1943.098999	-36.041901
100232690010661	4	4702.567	13.404	869.4138	1076.1257	1106.737133	1394.168278	1379.801864	821253.22	2643254.76	2484.12793	1732.649414	-61.108002
100232789010661	1	2425.657	3854.31	2656.4566	2005.2754	1935.0684	1911.857056	1870.086091	789960.29	2631690.58	331.956207	-195.161896	104.348701
100232789010661	2	1645.564	3094.049	2656.4566	2005.2754	1935.0684	1892.692889	1870.086091	789960.29	2631727.15	326.639587	-264.145813	151.151093
100232789010661	4	1541.423	1830.223	2416.0234	2005.2754	1935.0684	1892.692889	1960.5945	789928.62	2631672.29	377.935699	-253.1633	181.192795
100232872010661	1	2602.014	620.198	1195.47	1368.2555	1324.8706	1514.056778	1561.386318	805844.67	2633312.71	3471.759766	2642.20752	-50.062599
100232872010661	2	3625.873	1113.695	1489.771	1432.2797	1597.0994	1772.378167	1731.992136	805844.67	2633349.28	3833.810303	2876.408203	73.356201
100232872010661	3	1254.457	2728.908	2107.3354	1820.0644	1833.213067	1725.902444	1680.682636	805876.35	2633294.42	3353.447754	2638.131104	46.057301
100232872010661	4	3077.643	189.986	923.9236	952.4405	1343.634733	1694.835944	1611.433227	805813	2633294.42	3564.417725	2655.19458	-94.573997
100232990010661	1	3337.472	299.96	1448.7174	1751.1057	2218.3474	1883.816667	1693.594364	784353.73	2666060.44	2463.378174	1541.59314	-47.700001
100232990010661	2	2644.57	2080.52	1055.1192	1501.7736	1609.847133	1807.926611	1724.744909	784353.73	2666097.02	2657.031006	1704.219727	-50.654202
100232990010661	3	1883.357	2405.369	2928.3908	2540.2712	2155.0982	1948.140333	1726.725909	784385.41	2666042.16	2314.054688	1434.411255	-14.5152
100232990010661	4	2870.896	2205.589	617.595	864.8881	968.255067	1040.240056	1144.899636	784322.05	2666042.16	2473.550049	1587.181152	59.575802
100233123010661	1	4181.234	71.839	704.5512	812.073	1040.778	1295.410111	1347.8915	812625.9	2670721.74	3148.20874	1604.368164	-276.444397
100233123010661	2	1200.223	2883.856	1420.1768	1581.0953	1606.865	1546.390389	1489.829727	812625.9	2670758.31	2765.590088	1466.867554	-240.872101
100233123010661	3	4695.906	2788.092	1470.0116	1431.1042	1976.521067	1876.172889	1781.036909	812657.57	2670703.45	2391.448975	1486.147217	-17.247299
100233123010661	4	1707.393	2190.317	729.4622	1178.5294	1281.354533	1214.7385	1413.628591	812594.22	2670703.45	2544.876221	1643.592041	9.1076
100233238010661	1	2869.96	974.587	1362.186	1181.8741	1288.764333	1287.667611	1388.163955	818265.08	2634426.36	2525.605957	1726.784058	13.5148
100233238010661	2	2469.962	1883.357	2186.3938	1998.6624	2071.621133	1913.9715	1718.675545	818265.08	2634462.94	2309.98291	1444.856689	17.4305
100233238010661	3	1073.144	1389.663	1963.9186	1690.3808	1915.148333	1953.866833	1901.803318	818296.75	2634408.08	2749.324463	1941.413452	29.7456
100233238010661	4	1127.768	394.877	873.6264	1060.4781	1371.850667	1529.566667	1532.716773	818233.4	2634408.08	2390.875	1448.659912	-187.664795
102443363010661	1	583.166	1252.66	667.5402	992.9525	1172.0636	1266.2745	1265.753864	824912.34	2647735.04	2672.830322	1342.426758	-470.603912
102443363010661	2	2029.711	1127.768	909.4758	1489.3279	1646.331867	1893.185722	1776.766182	824912.34	2647771.62	2386.573486	1501.633789	-144.060196
102443363010661	3	129.767	1842.267	1930.9036	2157.7057	1948.596533	2103.087778	2285.439591	824944.02	2647716.75	2703.999756	1956.426514	97.976196
102443363010661	4	512.941	332.724	1670.5044	1921.5441	2133.170867	1881.121333	1774.102227	824880.67	2647716.75	1570.960083	833.325317	133.900406
102443417010661	1	932.492	3138.654	1415.8338	1888.6667	1893.381067	1862.474722	1868.834091	821704.03	2685951.92	3203.853516	2410.421143	53.4594
102443417010661	2	3119.54	3676.483	1875.3588	1590.9307	1831.1364	1657.3575	1870.508591	821704.03	2685988.5	3167.056885	2351.916504	131.658905
102443417010661	3	1719.464	6052.928	2400.6646	2875.1064	2405.891067	2333.316889	2190.396091	821735.71	2685933.63	3260.170654	2534.628906	135.2509
102443417010661	4	2286.658	2828.862	1642.6982	1830.2378	1785.681	1988.358	1833.338727	821672.36	2685933.63	3178.815918	2408.795898	190.313095
102443420010661	1	2891.682	156.639	2029.1156	1801.8915	1600.341533	1494.369611	1575.845727	816139.59	2673648.99	2324.171387	1612.876343	138.385406
102443420010661	2	2660.727	5595.127	2011.59	1780.8513	1500.114467	1658.909278	1614.297273	816139.59	2673685.56	2390.160156	1588.761475	-42.0952
102443420010661	3	1948.655	644.204	1213.3738	1397.3956	1643.999533	1910.928778	1975.434136	816171.27	2673630.7	2294.618652	1540.864014	20.742599
102443429010661	1	7765.525	1590.49	923.3264	1093.3786	1626.549333	1497.645667	1554.189045	815384.27	2665571.16	2894.785889	2157.312744	113.205803
102443429010661	2	1778.42	436.752	1193.7014	1752.2101	1753.3124	1827.675444	1756.417182	815384.27	2665607.74	2775.886719	2171.733398	160.899704
102443429010661	3	1732.737	330.404	731.5876	1837.5436	1749.330133	1848.760222	1948.969909	815415.94	2665552.88	2922.908203	2226.141602	130.091904
102443429010661	4	4059.267	946.909	1074.6504	1304.3499	1416.852333	1360.052889	1612.827864	815352.59	2665552.88	2848.330811	2125.694824	135.697998
102443432010661	1	1210.742	1027.759	1607.4276	1508.4182	1455.9092	1568.019167	1419.703364	802377.54	2668724.02	1946.393311	776.682312	-471.810394
102443432010661	2	1675.777	3733.868	2467.3982	1879.1458	1901.799867	2009.211278	1834.448409	802377.54	2668760.6	2681.640381	1690.833252	-229.176804
102443432010661	3	2439.437	2861.076	1386.999	1279.4583	1305.591133	1212.531778	1274.122545	802409.22	2668705.73	2407.691162	1153.420654	-534.584229
102443432010661	4	902.727	1027.759	1226.6122	1478.6328	1649.547733	1656.160667	1477.629045	802345.86	2668705.73	2061.432129	643.790405	-717.412781
102443435010661	1	755.842	1564.395	2580.2146	2238.4832	1888.0692	1663.524	1553.208545	811741.59	2656396.78	2163.785156	1226.628052	-122.563301
102443435010661	2	1793.213	394.877	1304.2022	1255.4614	1601.584267	1445.394722	1547.007455	811741.59	2656433.36	2369.723389	1373.524536	-98.6399
102443435010661	3	1018.944	670.817	1043.8864	1482.915	1905.282733	1673.640722	1507.066909	811773.27	2656378.5	2166.868408	1306.454956	-28.192699
102443435010661	4	4108.934	823.824	1489.228	1785.0532	1942.366533	1704.602056	1735.160818	811709.91	2656378.5	1965.601929	1156.755859	47.169399
102443441010661	1	1256.073	940.446	1031.8876	1701.5333	1551.139867	1594.000389	1861.096227	821362.57	2630677.44	2819.924316	1788.147461	-275.985199
102443441010661	2	2369.098	502.749	1657.3718	1368.9066	1480.1572	1342.443667	1470.137455	821362.57	2630714.01	3141.289795	1735.497925	-565.631287
102443441010661	3	2352.484	1712.039	1061.33	1639.2716	1748.2986	1889.503167	1877.542364	821394.25	2630659.15	3089.338867	2263.474121	8.8176
102443441010661	4	1676.774	1672.637	778.3468	1047.6697	1604.8688	1956.740222	2084.248	821330.9	2630659.15	2579.653076	1764.379639	-177.801804
102443444010661	1	2524.247	760.061	1258.0104	1576.0731	1746.7736	1551.068389	1610.541318	797121.12	2645079.25	4371.59668	1287.112061	-1662.898682
102443444010661	2	144.909	760.061	1684.2816	1632.9596	1508.841333	1551.068389	1538.548909	797121.12	2645115.83	4298.521484	1008.656799	-1794.737793
102443447010661	1	2350.217	760.061	600.0876	878.3509	912.341733	1089.193222	1082.469136	808621.43	2633727.29	3418.563721	453.121887	-1319.387939
102443447010661	2	2133.995	760.061	1163.0334	915.1191	960.603	936.928333	1149.122364	808621.43	2633763.87	3562.40332	395.118591	-1428.620361
102443447010661	3	1883.599	760.061	1086.7124	878.3509	912.341733	1035.029778	1082.469136	808653.1	2633709	3419.506348	463.152496	-1443.30896
102443447010661	4	2677.118	1242.476	787.7616	955.0497	1008.482	1084.923111	1078.350364	808589.75	2633709	3459.643799	1246.561279	-754.496094
102443450010661	1	2654.041	156.68	1241.24	2374.7835	1920.303867	1788.692611	1712.975773	806698.32	2629655.41	3726.744385	2837.542725	74.360603
102443450010661	2	1276.691	1261.351	2055.0628	1726.6411	1624.208267	1501.339333	1463.137682	806698.32	2629691.98	4047.181885	3061.42627	3.9646
102443450010661	3	3000.696	2830.699	2442.7216	1545.5561	1781.800267	1784.086278	1664.723182	806730	2629637.12	3608.486328	2679.991455	8.6338
102443450010661	4	822.01	1520.034	1183.3314	1141.8452	1304.873	1234.862278	1610.2835	806666.65	2629637.12	3625.241455	2798.519287	87.618599
102443477010661	1	4644.261	556.449	1202.7608	1518.5732	1395.249	1570.105833	1369.938409	786837.95	2670135.19	2179.157471	1256.697998	-213.862595
102443477010661	2	1533.41	791.048	1449.8056	1103.734	1263.854133	1522.509556	1612.455227	786837.95	2670171.76	2068.821289	1137.863647	-184.134003
102443477010661	3	1028.493	4323.852	1563.6204	1234.7707	1265.8892	1387.361167	1434.096136	786869.63	2670116.9	2091.601562	1147.397827	-245.413803
102443477010661	4	1564.395	755.842	2326.3336	1790.1358	1517.679467	1384.051667	1255.703409	786806.28	2670116.9	2161.329834	1274.239624	-136.642593
102443480010661	1	1359.036	161.229	636.4054	1280.0211	1065.3952	1163.779222	1321.091545	802485.02	2661473.16	2187.647705	1367.974731	9.4498
102443480010661	2	6120.749	494.198	1279.7304	1137.8256	1044.8814	1219.074944	1517.829273	802485.02	2661509.73	2208.787109	1294.029541	-100.046997
102443480010661	3	2405.369	1883.357	2549.2514	2187.344	2051.3496	1828.868056	1671.301864	802516.69	2661454.87	2295.61084	1424.003662	-16.570299
102443480010661	4	1695.606	2565.273	1371.9008	1175.6985	1306.922333	1407.214444	1515.237455	802453.34	2661454.87	2176.260498	1262.619751	-71.185501
102443483010661	1	1766.199	28.918	967.4644	1352.2537	1525.179467	1871.964611	1716.465773	787799.04	2659994.6	2741.407959	1867.624023	-23.1493
102443483010661	2	366.439	1302.625	1526.757	1928.4768	1714.188	1764.356167	1907.109318	787799.04	2660031.17	2678.898438	1761.720947	-134.941605
102443483010661	3	2080.52	289.794	1097.3222	1438.8332	1526.7826	1545.459222	1883.472682	787830.71	2659976.31	2619.557617	1727.763428	-49.791302
102443483010661	4	1389.663	1073.144	1943.4984	1570.8864	1894.047067	1827.548444	1722.928818	787767.36	2659976.31	2764.075684	1928.186401	39.008701
102443492010661	1	761.869	583.166	1278.3814	966.7974	1099.648933	1292.539278	1579.538455	795771.18	2635834.93	2918.521484	1267.119873	-622.337585
102443492010661	2	619.839	2883.856	1447.4002	1278.1544	1518.3988	1823.939389	1693.368455	795771.18	2635871.5	2877.530518	1482.221924	-453.798492
102443492010661	3	230.51	583.166	1220.4422	1049.2505	1215.020867	1418.318833	1476.682182	795802.86	2635816.64	2865.957764	1410.239258	-555.161194
102443492010661	4	91.123	502.749	1612.1894	1572.5149	1417.939267	1286.133722	1361.035909	795739.5	2635816.64	3162.268066	1462.557983	-638.94043
102443495010661	1	1572.526	2031.24	1933.8992	1708.9128	1572.889133	1619.337556	1493.756636	781363.57	2634020.76	2273.39502	1479.178101	61.748199
102443495010661	2	1842.267	2446.407	1203.2146	1740.6792	1715.2034	1884.094944	1957.030682	781363.57	2634057.33	2738.786377	1938.403564	71.649101
102443495010661	3	731.348	2151.489	1230.9784	1442.1624	1347.527933	1324.295944	1326.089045	781395.24	2634002.47	2523.976807	1730.294556	90.456001
102443495010661	4	1864.398	3859.098	1696.7204	1627.0252	1648.1174	1841.046389	1784.951227	781331.89	2634002.47	2823.01709	2002.089111	77.450897
102444371010661	1	3054.952	1428.988	2268.0292	2125.685	2014.795867	1794.456778	1862.041364	799556.11	2652158.41	3293.1604	2062.192383	-236.162994
102444371010661	3	1526.081	1921.124	1672.7046	1802.9712	2074.827467	2015.870667	1958.282136	799587.78	2652140.12	2966.388428	2038.476562	-39.650501
102444371010661	4	958.986	1143.474	1534.7746	1410.7488	1475.817533	1441.288333	1442.781591	799524.43	2652140.12	3794.71582	1465.802246	-551.652527
102444374010661	1	1487.798	1850.006	1384.0352	1189.0613	1301.229133	1288.663278	1354.132227	785531.8	2651588.79	3760.614258	2724.545166	-176.730301
102444374010661	2	1291.941	3209.52	2529.6244	2301.0116	2014.094267	1925.507222	1908.453682	785531.8	2651625.37	3301.532715	2487.135498	-36.785
102444374010661	3	1295.433	1371.041	1161.0134	1464.8013	1399.453133	1586.638	1752.698909	785563.48	2651570.5	3654.96582	2694.388184	-112.413902
102444374010661	4	920.958	585.09	629.7278	736.3236	1082.331467	1185.488611	1211.563409	785500.13	2651570.5	3968.780518	3048.168701	30.067101
102444605010661	1	670.33	492.716	1755.2374	2128.7746	1688.555467	1600.831	1701.622591	811388.45	2647333.43	2197.865967	1164.839966	-251.400604
102444605010661	2	1585.307	1804.42	1743.5468	1310.476	1558.816933	1409.536611	1364.177091	811388.45	2647370.01	1987.375488	973.686401	-280.036987
102444605010661	3	2094.897	887.965	1512.567	1882.0033	1763.5024	1724.525444	1659.461318	811420.12	2647315.15	2993.327881	1727.96582	-154.668793
102444608010661	1	1285.229	1571.582	1697.0496	1575.8087	1633.619667	1839.615056	1558.439182	808987.71	2636966.47	3681.79126	2921.089355	144.018295
102444608010661	2	2464.39	1776.571	1052.5376	1133.7018	1160.023	1390.320944	1290.675136	808987.71	2637003.05	3778.591797	2995.908936	54.977901
102444608010661	3	809.262	2392.626	1239.9842	2080.3633	1941.2396	1875.883389	1843.125409	809019.38	2636948.19	3532.663574	2654.485352	5.0342
102444608010661	4	1758.791	1572.783	1239.0784	2186.3728	1861.8386	1746.802556	1616.262682	808956.03	2636948.19	3428.579102	2586.571777	46.319801
55314475010661	1	2054.268	2668.108	1222.661	1399.0497	1348.822867	1286.633056	1309.884636	817990.65	2682833.9	2213.80249	1132.877197	-316.098511
55314475010661	2	3536.985	556.449	1603.029	1645.8966	1642.7024	1443.4685	1320.142682	817990.65	2682870.48	2230.559082	1238.78186	-177.744507
55314475010661	3	3444.73	2003.544	783.4294	1151.7207	1447.0138	1727.807333	1479.573909	818022.33	2682815.61	2064.526611	1270.118774	-41.0728
55314475010661	4	791.048	1533.41	1652.8082	1163.6773	1213.308533	1463.816667	1554.474091	817958.98	2682815.61	2074.835693	1105.328369	-150.957993
55315043010661	1	3698.568	615.534	815.4676	1483.1501	1360.346867	1437.329	1588.897909	780747.63	2672625.88	3530.674561	2376.903076	-132.265793
55315043010661	2	1948.745	2007.499	1439.248	1788.6233	2013.2954	1864.484389	1762.914227	780747.63	2672662.46	3242.310791	2354.361084	104.8843
55315043010661	3	2503.762	1254.146	1907.0416	2242.0141	1925.4446	2026.662778	1990.755318	780779.3	2672607.6	3158.754639	2066.729492	-183.038696
55315043010661	4	1944.762	1227.936	2247.4548	1877.4092	1868.0986	1821.359611	2084.158045	780715.95	2672607.6	3427.081543	2499.674561	44.7906
55315790010661	1	3859.098	1864.398	1198.2756	1956.9597	1884.402	1888.955722	1639.800409	778616.03	2671425.21	2809.526123	2018.757324	91.335999
55315790010661	2	3304.926	1477.834	1416.394	1768.9121	1519.089	1621.766944	1617.8	778616.03	2671461.79	2901.078613	1998.997925	-1.3234
55315790010661	3	4722.28	330.404	1237.8426	1969.4648	1935.226867	1927.296667	2131.119227	778647.7	2671406.92	2997.945312	2165.09375	176.732407
55315790010661	4	1033.365	1864.398	973.5058	1376.9398	1872.915	1779.823056	1756.7265	778584.35	2671406.92	2841.968994	1995.232666	109.5849
55316543010661	1	818.15	1541.423	2390.0678	2204.8524	2068.119733	2082.224944	2051.311318	793111.55	2674868.02	668.874878	-57.301201	300.685608
