plt_cn	subp	ref.forgrp	pred.forgrp
100231500010661	1	400	120
100231500010661	2	400	120
100231500010661	3	400	120
100231500010661	4	400	120
100231546010661	2	800	800
100231546010661	3	800	800
100231546010661	4	800	800
100231667010661	1	800	800
100231667010661	2	800	800
100231667010661	3	800	800
100231667010661	4	800	800
100231775010661	1	800	900
100231775010661	2	800	800
100231775010661	3	800	800
100231775010661	4	800	800
100231886010661	1	120	800
100231886010661	2	800	800
100231886010661	3	120	800
100231886010661	4	120	800
100231983010661	1	800	800
100231983010661	2	800	800
100231983010661	3	800	800
100231983010661	4	800	800
100232137010661	1	800	120
100232137010661	2	800	120
100232137010661	3	800	800
100232137010661	4	800	120
100232251010661	1	800	800
100232251010661	2	800	800
100232251010661	3	800	120
100232251010661	4	800	800
100232355010661	1	400	120
100232355010661	2	400	120
100232355010661	3	400	120
100232355010661	4	400	800
100232436010661	1	800	120
100232436010661	2	900	120
100232436010661	3	900	120
100232436010661	4	800	120
100232530010661	1	120	120
100232530010661	2	120	120
100232530010661	3	120	120
100232530010661	4	120	120
100232649010661	1	120	800
100232649010661	2	120	120
100232649010661	3	120	120
100232649010661	4	120	800
100232690010661	1	800	120
100232690010661	2	800	800
100232690010661	3	800	120
100232690010661	4	800	120
100232789010661	1	800	100
100232789010661	2	800	100
100232789010661	4	800	100
100232872010661	1	800	800
100232872010661	2	800	800
100232872010661	3	800	800
100232872010661	4	800	800
100232990010661	1	800	120
100232990010661	2	800	100
100232990010661	3	800	120
100232990010661	4	800	120
100233123010661	1	100	120
100233123010661	2	100	120
100233123010661	3	100	120
100233123010661	4	100	120
100233238010661	1	120	120
100233238010661	2	120	120
100233238010661	3	120	800
100233238010661	4	120	120
102443363010661	1	800	100
102443363010661	2	800	120
102443363010661	3	800	800
102443363010661	4	800	100
102443417010661	1	800	800
102443417010661	2	800	800
102443417010661	3	800	800
102443417010661	4	800	800
102443420010661	1	120	120
102443420010661	2	120	120
102443420010661	3	120	120
102443429010661	1	120	120
102443429010661	2	120	120
102443429010661	3	120	120
102443429010661	4	120	120
102443432010661	1	800	100
102443432010661	2	800	100
102443432010661	3	800	100
102443432010661	4	800	100
102443435010661	1	120	100
102443435010661	2	120	120
102443435010661	3	120	120
102443435010661	4	120	800
102443441010661	1	800	100
102443441010661	2	800	800
102443441010661	3	800	120
102443441010661	4	800	100
102443444010661	1	120	800
102443444010661	2	120	100
102443444010661	3	120	100
102443447010661	1	800	100
102443447010661	2	800	100
102443447010661	3	800	100
102443447010661	4	800	800
102443450010661	1	120	800
102443450010661	2	120	800
102443450010661	3	900	120
102443450010661	4	120	120
102443477010661	1	100	120
102443477010661	2	100	100
102443477010661	3	100	100
102443477010661	4	100	120
102443480010661	1	800	120
102443480010661	2	800	120
102443480010661	3	800	120
102443480010661	4	800	120
102443483010661	1	100	120
102443483010661	2	120	100
102443483010661	3	100	120
102443483010661	4	100	120
102443489010661	1	100	800
102443489010661	2	100	800
102443489010661	3	100	800
102443489010661	4	100	800
102443492010661	1	800	100
102443492010661	2	800	120
102443492010661	3	800	100
102443492010661	4	800	800
102443495010661	1	800	120
102443495010661	2	800	120
102443495010661	3	800	120
102443495010661	4	800	120
102444371010661	1	800	100
102444371010661	2	800	100
102444371010661	3	800	120
102444371010661	4	800	100
102444374010661	1	800	800
102444374010661	2	800	800
102444374010661	3	800	800
102444374010661	4	800	800
102444605010661	1	120	100
102444605010661	2	120	100
102444605010661	3	120	120
102444605010661	4	120	100
102444608010661	1	380	800
102444608010661	2	380	800
102444608010661	3	900	800
102444608010661	4	120	800
55314475010661	1	100	100
55314475010661	2	100	100
55314475010661	3	100	120
55314475010661	4	100	100
55315043010661	1	900	800
55315043010661	2	900	800
55315043010661	3	900	120
55315043010661	4	900	800
55315790010661	1	120	120
55315790010661	2	120	120
55315790010661	3	120	120
55315790010661	4	120	120
55316543010661	1	900	100
55316543010661	2	900	120
55316543010661	3	900	100
55316543010661	4	900	100
55317082010661	1	100	100
55317082010661	2	100	100
55317082010661	3	100	100
55317082010661	4	100	100
55317585010661	1	120	120
55317585010661	2	120	120
55317585010661	3	120	120
55317585010661	4	120	120
55318163010661	1	100	100
55318163010661	2	100	100
55318163010661	3	100	100
55318163010661	4	100	100
55318352010661	1	100	100
55318352010661	2	100	100
55318352010661	3	100	100
55318352010661	4	100	100
55318549010661	1	800	800
55318549010661	2	800	800
55318549010661	3	800	800
55318549010661	4	800	800
55318934010661	1	800	800
55318934010661	2	800	800
55318934010661	3	800	800
55318934010661	4	800	800
55319095010661	1	100	800
55319095010661	2	100	800
55319095010661	3	100	800
55319410010661	1	100	120
55319410010661	2	100	120
55319410010661	3	100	120
55319410010661	4	100	120
55320990010661	1	999	120
55320990010661	2	999	120
55320990010661	3	999	120
55320990010661	4	999	120
55321221010661	1	800	120
55321221010661	2	800	800
55321221010661	3	800	120
55321221010661	4	800	800
55321674010661	1	800	800
55321674010661	2	800	800
55321674010661	3	800	800
55321674010661	4	800	800
55322164010661	1	800	800
55322164010661	2	800	800
55322164010661	3	800	800
55322164010661	4	800	800
55322798010661	1	800	800
55322798010661	2	800	800
55322798010661	3	800	800
55322798010661	4	800	800
55323343010661	1	800	120
55323343010661	2	800	120
55323343010661	3	800	800
55323343010661	4	800	120
55324015010661	1	120	120
55324015010661	2	120	120
55324015010661	3	120	120
55324015010661	4	120	120
55324712010661	1	900	800
55324712010661	2	900	800
55324712010661	3	900	800
55324712010661	4	900	800
55325324010661	1	120	120
55325324010661	2	120	120
55325476010661	1	120	120
55325476010661	2	120	120
55325476010661	3	120	120
55325476010661	4	120	120
55326314010661	4	700	800
55326429010661	1	100	120
55326429010661	2	100	120
55326429010661	3	100	120
55326429010661	4	100	800
55327108010661	1	120	120
55327108010661	2	120	120
55327108010661	3	120	120
55327108010661	4	120	120
55328030010661	1	100	100
55328030010661	2	100	100
55328030010661	3	100	120
55328030010661	4	100	120
55328364010661	1	120	120
55328364010661	2	120	120
55328364010661	3	120	800
55328364010661	4	120	800
55329166010661	1	120	120
55329166010661	2	120	800
55329166010661	3	120	120
55329166010661	4	120	120
55329663010661	1	120	800
55329663010661	2	120	100
55329663010661	3	120	800
55329663010661	4	120	120
55329986010661	1	120	120
55329986010661	2	120	120
55329986010661	3	120	800
55329986010661	4	120	120
55330436010661	1	800	800
55330436010661	2	800	800
55330436010661	3	800	120
55330436010661	4	800	800
55330730010661	1	800	800
55330730010661	2	800	800
55330730010661	3	800	800
55330730010661	4	800	800
55331123010661	1	800	800
55331123010661	2	800	800
55331123010661	3	800	800
55331123010661	4	800	800
55331576010661	4	800	100
55331961010661	1	900	800
55331961010661	2	900	800
55331961010661	3	900	800
55331961010661	4	900	800
55332249010661	1	800	800
55332249010661	2	800	800
55332249010661	3	800	800
55332249010661	4	800	800
55332822010661	1	100	800
55332822010661	2	100	800
55332822010661	3	100	800
55332822010661	4	999	800
55333132010661	1	999	120
55333132010661	2	999	800
55333132010661	3	999	120
55333132010661	4	999	120
55333435010661	1	100	800
55333435010661	2	100	800
55333435010661	3	100	800
55333435010661	4	100	800
55334021010661	1	100	800
55334021010661	3	100	120
55334021010661	4	100	800
55334357010661	1	800	120
55334357010661	2	800	800
55334357010661	3	800	800
55334357010661	4	800	800
55334924010661	1	800	120
55334924010661	2	800	120
55334924010661	3	800	800
55334924010661	4	800	120
55335415010661	1	100	800
55335415010661	2	100	900
55335415010661	3	100	800
55335415010661	4	100	800
55336869010661	1	700	800
55336869010661	2	700	800
55336869010661	3	700	100
55336869010661	4	700	800
55337034010661	1	120	120
55337034010661	2	120	120
55337034010661	3	120	120
55337034010661	4	120	120
55337381010661	1	800	800
55337381010661	2	800	800
55337381010661	3	800	120
55337381010661	4	800	800
55338345010661	1	900	100
55338345010661	2	900	800
55338345010661	3	900	100
55338345010661	4	900	100
55338801010661	1	800	800
55338801010661	2	800	800
55338801010661	3	800	800
55338801010661	4	800	800
55339480010661	1	800	120
55339480010661	2	800	120
55339480010661	3	800	100
55339480010661	4	800	120
55339922010661	1	120	800
55339922010661	2	120	800
55339922010661	3	120	800
55340233010661	1	800	800
55340233010661	2	800	800
55340233010661	3	800	800
55340233010661	4	800	800
55340484010661	1	800	800
55340484010661	2	800	120
55340484010661	3	800	800
55340484010661	4	800	800
55492064010661	1	100	100
55492064010661	2	100	800
55492064010661	3	100	120
55492064010661	4	100	120
55492864010661	1	100	800
55492864010661	2	100	800
55492864010661	3	100	800
55492864010661	4	100	800
55494936010661	1	100	800
55494936010661	2	100	800
55494936010661	3	100	800
55494936010661	4	100	800
55495159010661	1	400	100
55495159010661	2	400	100
55495159010661	3	400	100
55495159010661	4	400	120
55495374010661	1	100	120
55495374010661	2	100	120
55495374010661	3	100	120
55495374010661	4	100	800
55495764010661	1	100	100
55495764010661	2	100	100
55495764010661	3	100	100
55495764010661	4	100	120
55496648010661	1	100	100
55496648010661	2	100	120
55496648010661	3	100	120
55496648010661	4	100	100
55497196010661	1	800	120
55497196010661	2	800	120
55497196010661	3	800	120
55497196010661	4	800	120
55498090010661	1	100	120
55498090010661	2	100	800
55498090010661	3	100	800
55498090010661	4	100	120
55499769010661	1	120	120
55499769010661	2	120	120
55499769010661	3	120	120
55499769010661	4	120	800
55500421010661	1	800	800
55500421010661	2	800	800
55500421010661	3	800	800
55500421010661	4	800	800
55500852010661	3	400	120
55501367010661	1	120	800
55501367010661	2	120	100
55501367010661	3	120	120
55501367010661	4	120	120
55502446010661	1	800	800
55502446010661	2	800	800
55502446010661	3	800	800
55502446010661	4	800	800
55504049010661	1	120	120
55504049010661	2	120	120
55504049010661	3	120	120
55504049010661	4	120	120
55504693010661	1	100	120
55504693010661	2	100	800
55504693010661	3	100	120
55504693010661	4	100	120
55505418010661	1	120	120
55505418010661	2	120	120
55505418010661	3	120	120
55505418010661	4	120	120
55506152010661	1	800	120
55506152010661	2	800	800
55506152010661	3	800	800
55506152010661	4	800	120
55506981010661	1	800	800
55506981010661	2	800	800
55506981010661	3	800	800
55506981010661	4	800	800
55507569010661	1	120	800
55507569010661	2	120	120
55507569010661	3	120	800
55507569010661	4	120	120
55507886010661	1	800	800
55507886010661	2	800	800
55507886010661	3	800	800
55507886010661	4	800	800
55508422010661	1	120	800
55508422010661	2	120	800
55508422010661	3	120	800
55508422010661	4	120	800
55509232010661	1	120	120
55509232010661	2	120	120
55509232010661	3	120	120
55509232010661	4	120	120
55510381010661	1	900	800
55510381010661	2	900	800
55510381010661	3	900	800
55510381010661	4	900	800
55511294010661	1	120	120
55511294010661	2	120	120
55511294010661	3	120	800
55511294010661	4	120	120
55511910010661	1	120	100
55511910010661	2	120	800
55511910010661	3	120	120
55511910010661	4	120	120
55512616010661	1	800	800
55512616010661	2	800	800
55512616010661	3	800	800
55512616010661	4	800	800
55513227010661	1	120	120
55513227010661	2	120	100
55513227010661	3	120	120
55513227010661	4	120	120
55514329010661	1	120	800
55514329010661	2	120	100
55514329010661	3	120	800
55514329010661	4	120	800
55515730010661	1	120	800
55515730010661	2	120	800
55515730010661	3	120	120
55515730010661	4	120	100
55516650010661	1	800	800
55516650010661	2	800	120
55516650010661	3	800	100
55516650010661	4	800	120
55517534010661	1	120	120
55517534010661	2	120	100
55517534010661	3	120	120
55517534010661	4	120	120
55517653010661	3	380	800
55517653010661	4	380	120
55518103010661	1	900	800
55518103010661	2	900	800
55518103010661	3	900	800
55518103010661	4	900	800
55518776010661	1	120	120
55518776010661	2	900	100
55518776010661	3	120	120
55518776010661	4	120	120
55519831010661	1	800	100
55519831010661	2	800	120
55519831010661	3	800	120
55519831010661	4	800	100
55520453010661	1	800	800
55520453010661	2	800	800
55520453010661	3	800	800
55520453010661	4	800	800
55521817010661	1	120	120
55521817010661	2	120	120
55521817010661	3	120	800
55521817010661	4	120	120
55522403010661	1	999	120
55522403010661	2	999	120
55522403010661	3	999	120
55522403010661	4	999	100
55522586010661	1	100	800
55522586010661	2	100	800
55522586010661	3	100	800
55522586010661	4	100	800
55524797010661	1	800	800
55524797010661	2	800	800
55524797010661	3	800	800
55524797010661	4	800	800
55525403010661	1	100	800
55525403010661	2	100	800
55525403010661	3	100	120
55525403010661	4	100	800
55525848010661	3	900	120
55526227010661	1	120	120
55526227010661	2	120	120
55526227010661	3	120	120
55526227010661	4	120	120
55527818010661	1	800	100
55527818010661	2	800	120
55527818010661	3	800	120
55527818010661	4	800	120
55529265010661	1	800	800
55529265010661	2	800	800
55529265010661	3	800	800
55529265010661	4	800	800
55530010010661	1	100	800
55530010010661	2	100	800
55530010010661	3	100	120
55530010010661	4	100	700
55530903010661	1	100	100
55530903010661	2	100	100
55530903010661	3	100	100
55530903010661	4	100	100
55531470010661	1	100	120
55531470010661	2	100	120
55531470010661	3	100	120
55531470010661	4	100	120
55531785010661	1	800	800
55531785010661	2	800	800
55531785010661	3	800	800
55531785010661	4	800	800
55532329010661	1	800	800
55532329010661	2	800	800
55532329010661	3	800	120
55532329010661	4	800	800
89732397010661	1	800	120
89732397010661	2	800	120
89732397010661	3	800	800
89732397010661	4	800	120
89732509010661	1	800	800
89732509010661	2	800	800
89732509010661	3	800	800
89732509010661	4	800	800
89732597010661	1	800	800
89732597010661	2	800	800
89732597010661	3	800	800
89732597010661	4	800	800
89732677010661	1	800	800
89732677010661	2	800	800
89732677010661	3	800	800
89732677010661	4	800	800
89732776010661	1	100	100
89732776010661	2	100	100
89732776010661	3	100	100
89732776010661	4	100	100
89732852010661	1	100	100
89732852010661	2	100	100
89732852010661	3	100	100
89732852010661	4	100	100
89732939010661	1	100	100
89732939010661	2	100	100
89732939010661	3	100	100
89732939010661	4	100	100
89733074010661	1	400	120
89733074010661	2	400	120
89733074010661	3	400	120
89733074010661	4	400	120
89733100010661	1	800	800
89733100010661	2	800	800
89733100010661	3	800	800
89733100010661	4	800	800
89733153010661	1	120	120
89733153010661	2	120	999
89733153010661	3	120	120
89733153010661	4	120	120
89733223010661	1	100	120
89733223010661	2	100	120
89733223010661	3	100	120
89733223010661	4	100	120
89733340010661	1	120	120
89733340010661	2	120	120
89733340010661	3	120	400
89733340010661	4	120	120
89733382010661	1	100	120
89733382010661	2	100	120
89733382010661	3	100	120
89733382010661	4	100	120
89733582010661	1	900	120
89733582010661	2	900	120
89733582010661	3	900	120
89733582010661	4	900	120
89733842010661	1	120	120
89733842010661	2	120	120
89733842010661	3	120	120
89733842010661	4	120	120
89733987010661	1	800	800
89733987010661	4	800	800
89734070010661	1	800	800
89734070010661	2	800	800
89734070010661	3	800	800
89734070010661	4	800	800
89734228010661	1	100	100
89734228010661	2	100	120
89734228010661	3	100	800
89734228010661	4	100	120
89734392010661	1	800	800
89734392010661	2	800	800
89734392010661	3	800	800
89734392010661	4	800	800
89734495010661	1	120	120
89734495010661	2	120	120
89734495010661	3	120	120
89734495010661	4	120	120
89734574010661	1	120	800
89734574010661	2	120	800
89734574010661	3	120	800
89734574010661	4	120	800
89734825010661	1	800	800
89734825010661	2	800	120
89734825010661	3	800	120
89734825010661	4	800	800
89734952010661	1	800	800
89734952010661	2	800	800
89734952010661	3	800	800
89735034010661	1	120	120
89735034010661	2	120	120
89735034010661	3	120	100
89735034010661	4	120	120
89735312010661	1	120	120
89735312010661	2	120	120
89735312010661	3	120	100
89735312010661	4	120	120
89735523010661	1	120	800
89735523010661	2	120	800
89735523010661	3	120	120
89735523010661	4	120	120
89735601010661	1	800	100
89735601010661	2	800	800
89735601010661	3	800	100
89735601010661	4	800	100
89735722010661	4	120	800
89735778010661	1	120	800
89735778010661	2	120	800
89735778010661	3	120	120
89735778010661	4	120	800
89736031010661	3	100	800
89736031010661	4	100	800
89736094010661	1	900	800
89736094010661	2	900	800
