plt_cn	subp	ref.forgrp	pred.forgrp
89736094010661	3	900	800
89736094010661	4	900	800
89736265010661	1	120	800
89736265010661	3	120	800
89736516010661	1	800	120
89736516010661	2	800	800
89736516010661	3	800	120
89736516010661	4	800	120
89736858010661	1	800	100
89736858010661	2	800	120
89736858010661	3	800	100
89736858010661	4	800	120
89736967010661	1	100	800
89736967010661	2	100	800
89736967010661	3	100	120
89736967010661	4	100	800
89737049010661	1	120	120
89737049010661	2	120	120
89737049010661	3	120	120
89737049010661	4	120	120
89737172010661	1	800	800
89737172010661	2	800	100
89737172010661	3	800	800
89737172010661	4	800	800
89737269010661	1	900	800
89737269010661	2	900	120
89737269010661	3	900	120
89737269010661	4	900	120
89737424010661	1	400	120
89737424010661	2	400	120
89737424010661	3	400	120
89737424010661	4	400	120
89737446010661	1	120	800
89737446010661	2	120	800
89737446010661	3	120	800
89737446010661	4	120	800
89737538010661	1	800	800
89737538010661	2	800	800
89737538010661	3	800	800
89737538010661	4	800	800
89737728010661	1	120	120
89737728010661	2	120	120
89737728010661	3	120	800
89737728010661	4	120	120
89737871010661	1	800	800
89737871010661	2	800	800
89737871010661	3	800	800
89737871010661	4	800	800
89737987010661	1	800	120
89737987010661	2	800	800
89737987010661	3	800	800
89737987010661	4	800	800
89738084010661	1	120	100
89738084010661	2	120	120
89738084010661	3	120	120
89738084010661	4	120	100
89738116010661	1	800	120
89738116010661	2	800	120
89738116010661	3	120	120
89738116010661	4	120	120
89738242010661	1	120	100
89738242010661	2	120	100
89738242010661	3	120	800
89738242010661	4	120	100
89738415010661	1	400	100
89738415010661	2	400	120
89738415010661	3	400	120
89738415010661	4	400	120
89738530010661	1	120	120
89738530010661	2	120	120
89738530010661	3	120	120
89738643010661	1	120	800
89738643010661	2	120	800
89738643010661	3	120	800
89738643010661	4	120	120
89738746010661	1	120	100
89738746010661	2	120	100
89738746010661	3	120	120
89738746010661	4	120	120
